Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
api-1,100,4,4,7,9,12,2,12,0.000%,1.84788,28.30,0.25
api-2,100,3,4,6,6,7,2,8,0.000%,1.84816,28.30,0.25
api-3,100,3,4,5,5,6,2,6,0.000%,1.84826,28.31,0.25
TOTAL,300,3,4,5,6,11,2,12,0.000%,5.54303,84.89,0.74
